request_id,tier,target,selection_type,status_class,fallback_target,created_at
REQ-IJIC3LCM5UOJFZAFLBDZDG7GJM,0,account_pool_group:gpt-plus-正常(备用1),across,no_account,,1785407236
REQ-IJIC3LCM5UOJFZAFLBDZDG7GJM,0,account_pool_group:gpt-plus-正常(备用1),across,no_account,,1785407296
REQ-NVRB5X6ZX2F7O5YPLUZKZKTK5U,0,account_pool_group:gpt-plus-正常(备用1),across,no_account,,1785407308
REQ-USF3H5ZWRFZ3HCJ4BSZWTZK224,0,account_pool_group:gpt-plus-正常(备用1),across,no_account,,1785407312
REQ-USF3H5ZWRFZ3HCJ4BSZWTZK224,0,account_pool_group:gpt-plus-正常(备用1),across,no_account,,1785407332
REQ-USF3H5ZWRFZ3HCJ4BSZWTZK224,0,account_pool_group:gpt-plus-正常(备用1),across,no_account,,1785407347
REQ-USF3H5ZWRFZ3HCJ4BSZWTZK224,0,account_pool_group:gpt-plus-正常(备用1),across,no_account,,1785407352
REQ-USF3H5ZWRFZ3HCJ4BSZWTZK224,0,account_pool_group:gpt-plus-正常(备用1),across,no_account,,1785407357
REQ-USF3H5ZWRFZ3HCJ4BSZWTZK224,0,account_pool_group:gpt-plus-正常(备用1),across,no_account,,1785407362
REQ-USF3H5ZWRFZ3HCJ4BSZWTZK224,0,account_pool_group:gpt-plus-正常(备用1),across,no_account,,1785407367
REQ-NSU7B37PBO3DZWP3PDXJAYBRYU,0,account_pool_group:gpt-plus-正常(备用1),across,no_account,,1785407376
REQ-XF46CQ3YSQS57CHQWNRN7G65E4,0,account_pool_group:gpt-plus-正常(备用1),across,no_account,,1785407441
REQ-XF46CQ3YSQS57CHQWNRN7G65E4,0,account_pool_group:claude,across,success,,1785407478
REQ-OU3NB6U4QXLGAPZPKNGUSKDKQE,0,account_pool_group:gpt-plus-备用2(可破甲),across,success,,1785407588
REQ-P7IDUE4UGOYMSHB7TF3S6FHH5M,0,account_pool_group:gpt-plus-备用2(可破甲),bound,success,,1785407748
REQ-UFPELL4ZVPXY5MPYBPA6VHXQ6Y,0,account_pool_group:gpt-plus-备用2(可破甲),bound,success,,1785407755
REQ-GIGJYCWVB3SJWHAIETH5Q3ZUGM,0,account_pool_group:gpt-plus-备用2(可破甲),bound,success,,1785407763
REQ-ZWNNZLJGQLVMMFRFW4MCRN7GAU,0,account_pool_group:gpt-plus-备用2(可破甲),bound,success,,1785407766
REQ-D6VHMCQBP33L3M4PWGWCW4F75U,0,account_pool_group:gpt-plus-备用2(可破甲),bound,success,,1785407781
